GeneSymbol,LFC.ave,regulatory.function,matrix.family,Chromosome,Coverage,Direction,Top10,ori,catogory,Group,Male_biased,Female_biased
ECHDC2,-0.709999979,none,,8,85,2dw_SDT_H_mtof,,SDT_H_mtof,mtof,SDT,0,1
ECHDC2,-0.88,none,,8,10,2dw_LDtoNS_H_mtof,,LDtoNS_H_mtof,mtof,LDtoNS,0,1
ECHDC2,-0.800000012,none,,8,41,2dw_SDtoNS_H_mtof,,SDtoNS_H_mtof,mtof,SDtoNS,0,1
ECHDC3,-0.91,none,,1A,61,2dw_LDtoNS_H_mtof,,LDtoNS_H_mtof,mtof,LDtoNS,0,1
ECHDC3,-0.870000005,none,,1A,65,2dw_SDtoNS_H_mtof,,SDtoNS_H_mtof,mtof,SDtoNS,0,1
ECHS1,-0.709999979,none,,6,10,2dw_LD_H_mtof,,LD_H_mtof,mtof,LD,0,1
ECI1,-0.84,none,,14,21,2dw_LDtoNS_H_mtof,,LDtoNS_H_mtof,mtof,LDtoNS,0,1
ECI1,-0.810000002,none,,14,21,2dw_SDtoNS_H_mtof,,SDtoNS_H_mtof,mtof,SDtoNS,0,1
ECI2,0.790000021,NA,NA,2,18,1up_LD_H_mtof,,LD_H_mtof,mtof,LD,1,0
ECI2,-0.895,NA,NA,2,132,2dw_LDtoNS_H_mtof,,LDtoNS_H_mtof,mtof,LDtoNS,0,1
ECM1,-0.829999983,none,,4,22,2dw_SDtoNS_H_mtof,,SDtoNS_H_mtof,mtof,SDtoNS,0,1
ECM2,0.610000014,none,,12,10,1up_FW_H_mtof,,FW_H_mtof,mtof,FW,1,0
ECM2,-0.74000001,none,,12,15,2dw_LD_H_mtof,,LD_H_mtof,mtof,LD,0,1
ECM2,-0.819999993,none,,12,74,2dw_SDT_H_mtof,Top10.dw,SDT_H_mtof,mtof,SDT,0,1
ECM2,-0.88,none,,12,90,2dw_LDtoNS_H_mtof,,LDtoNS_H_mtof,mtof,LDtoNS,0,1
ECM2,-0.889999986,none,,12,88,2dw_SDtoNS_H_mtof,,SDtoNS_H_mtof,mtof,SDtoNS,0,1
ECT2,-0.89,none,,9,228,2dw_LDtoNS_H_mtof,,LDtoNS_H_mtof,mtof,LDtoNS,0,1
ECT2,-0.875,none,,9,210,2dw_SDtoNS_H_mtof,,SDtoNS_H_mtof,mtof,SDtoNS,0,1
EDA,-0.610000014,none,,4A,13,2dw_CB_H_mtof,,CB_H_mtof,mtof,CB,0,1
EDA,-0.754999996,none,,4A,24,2dw_LD_H_mtof,,LD_H_mtof,mtof,LD,0,1
EDA,-0.84,none,,4A,30,2dw_LDtoNS_H_mtof,,LDtoNS_H_mtof,mtof,LDtoNS,0,1
EDA,-0.824999988,none,,4A,20,2dw_SDtoNS_H_mtof,,SDtoNS_H_mtof,mtof,SDtoNS,0,1
EDA2R,-0.840000003,none,,4A,20,2dw_SDT_H_mtof,Top10.dw,SDT_H_mtof,mtof,SDT,0,1
EDA2R,-0.82,none,,4A,23,2dw_LDtoNS_H_mtof,,LDtoNS_H_mtof,mtof,LDtoNS,0,1
EDA2R,-0.814999998,none,,4A,38,2dw_SDtoNS_H_mtof,,SDtoNS_H_mtof,mtof,SDtoNS,0,1
EDAR,0.670000017,none,,1,13,1up_CB_H_mtof,,CB_H_mtof,mtof,CB,1,0
EDAR,-0.75,none,,1,15,2dw_LD_H_mtof,,LD_H_mtof,mtof,LD,0,1
EDAR,-0.779999971,none,,1,30,2dw_SDT_H_mtof,,SDT_H_mtof,mtof,SDT,0,1
EDAR,-0.92,none,,1,150,2dw_LDtoNS_H_mtof,,LDtoNS_H_mtof,mtof,LDtoNS,0,1
EDAR,-0.899999976,none,,1,143,2dw_SDtoNS_H_mtof,,SDtoNS_H_mtof,mtof,SDtoNS,0,1
EDARADD,-0.9,none,,3,60,2dw_LDtoNS_H_mtof,,LDtoNS_H_mtof,mtof,LDtoNS,0,1
EDARADD,-0.870000005,none,,3,61,2dw_SDtoNS_H_mtof,,SDtoNS_H_mtof,mtof,SDtoNS,0,1
EDC4,-0.715000004,none,,11,148,2dw_LD_H_mtof,,LD_H_mtof,mtof,LD,0,1
EDC4,-0.649999976,none,,11,12,2dw_SDT_H_mtof,,SDT_H_mtof,mtof,SDT,0,1
EDC4,-0.85,none,,11,22,2dw_LDtoNS_H_mtof,,LDtoNS_H_mtof,mtof,LDtoNS,0,1
EDEM1,0.699999988,none,,12,38,1up_LD_H_mtof,,LD_H_mtof,mtof,LD,1,0
EDEM1,-0.655000001,none,,12,27,2dw_SDT_H_mtof,,SDT_H_mtof,mtof,SDT,0,1
EDEM2,-0.699999988,none,,20,14,2dw_CB_H_mtof,Top10.dw,CB_H_mtof,mtof,CB,0,1
EDEM2,-0.769999981,none,,20,14,2dw_LD_H_mtof,,LD_H_mtof,mtof,LD,0,1
