GeneSymbol,LFC.ave,regulatory.function,matrix.family,Chromosome,Coverage,Direction,Top10,ori,catogory,Group,Male_biased,Female_biased
EGLN1,-0.800000012,none,,3,47,2dw_SDtoNS_H_mtof,,SDtoNS_H_mtof,mtof,SDtoNS,0,1
EGLN3,-0.875,none,,5,36,2dw_SDT_H_mtof,Top10.dw,SDT_H_mtof,mtof,SDT,0,1
EGLN3,-0.87,none,,5,30,2dw_LDtoNS_H_mtof,,LDtoNS_H_mtof,mtof,LDtoNS,0,1
EGLN3,-0.925000012,none,,5,22,2dw_SDtoNS_H_mtof,Top10.dw,SDtoNS_H_mtof,mtof,SDtoNS,0,1
EGR1,-1.25,TF,V$EGRF,13,45,2dw_LDtoNS_H_mtof,Top10.dw,LDtoNS_H_mtof,mtof,LDtoNS,0,1
EGR1,-1.220000029,TF,V$EGRF,13,55,2dw_SDtoNS_H_mtof,Top10.dw,SDtoNS_H_mtof,mtof,SDtoNS,0,1
EHBP1,0.95,none,,3,11,1up_LDtoNS_H_mtof,,LDtoNS_H_mtof,mtof,LDtoNS,1,0
EHBP1,-0.5,none,,3,16,2dw_CB_H_mtof,,CB_H_mtof,mtof,CB,0,1
EHBP1,-0.709999979,none,,3,71,2dw_LD_H_mtof,,LD_H_mtof,mtof,LD,0,1
EHBP1,-0.605000019,none,,3,62,2dw_SDT_H_mtof,,SDT_H_mtof,mtof,SDT,0,1
EHD3,-0.680000007,none,,3,12,2dw_SDT_H_mtof,,SDT_H_mtof,mtof,SDT,0,1
EHD4,-0.9,none,,5,74,2dw_LDtoNS_H_mtof,,LDtoNS_H_mtof,mtof,LDtoNS,0,1
